engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
"A, a",A1,en,a,[a:],,"bokstaven og språklyden a",Ordet inneholder tre a-er.
"Å, å",A1,en,å,[å:],,bokstaven og språklyden å,Å-en er vanskelig å uttale for noen.
ah,B1,interjection,å,,Old Norse: ó,"brukt i utrop og uttrykk for glede, sorg, redsel, overraskelse og lignende","Å, det visste jeg ikke."
to,A1,conjunction,å,[å],Old Norse: at,settes foran verb som står i infinitiv,Gjestene begynner å komme.
stream,B1,ei,å,[å:],Old Norse: á,mindre elv,Mange bekker små gjør en stor å.
a cappella,B2,expression,a cappella,[akape´l:a],Italian: a cappella,uten instrumentalt akkompagnement; musikkuttrykk som betyr å synge uten akkompagnement av instrumenter,"Koret fremførte en vakker versjon av ""Ave Maria"" a cappella i kirken."
up to date,B2,expression,"à jour, a jour",[aʃu:´r],French: à jour,"opp til dags dato; uttrykket brukes ofte for å indikere at noe er i samsvar med de nyeste opplysningene, dataene eller informasjonen",Boka er brakt à jour.
in fashion,B2,expression,"à la mode",[alamå´d:],French,"på moten; etter siste mote; moderne; fransk uttrykk som bokstavelig talt betyr ""på moten"" eller ""i stilen""","Kaken ble servert à la mode, med is ved siden av."
"after the fact, a posteriori",C,expression,a posteriori,,Latin,"i etterhånd, fra det erfarte",Han baserte sin konklusjon på a posteriori bevis.
"in advance, a priori",C,expression,a priori,[aprio:`ri],Latin,på forhånd; uten undersøkelser først,Hans argument var basert på a priori kunnskap.
A4 format,B2,en,A4,[a: fi:`rə],German,arkstørrelse på 210 x 297 mm; A4-format,Hun skrev notatene på et A4-ark.
standard,B2,adjective,A4,[a: fi:`rə],German,"forutsigelig, vanlig; konvensjonell; normal; standard","Rapporten ble presentert på A4-måten, altså veldig standard."
average life,B2,et,A4-liv,[a: fi:`rə li:v],German,ordnært liv,Hun lever et trygt A4-liv.
average person,B2,et,A4-menneske,"[a: fi:`rə me`n:əskə], [a: fi:`rə me`nskə]",German,"ordinært menneske; person som lever en ordinær, vanlig eller gjennomsnittlig livsstil",Han er ikke et typisk A4-menneske.
abandon,C,verb,abandonere,"[abaŋdåne:´re], [abandåne:´re]",,"gi fra seg, forlate, avstå",Prosjektet ble abandonert etter budsjettoverskridelser.
abbey,C,et,abbedi,[abədi:´],German: abbedie,kloster som blir ledet av en abbed eller abbedisse,Abbediet lå i en vakker dal omgitt av skog.
abdication,B2,en,abdikasjon,,,det å abdisere,Kongens abdikasjon sjokkerte hele nasjonen.
abdicate,B2,verb,abdisere,,Latin: abdicare,"frasi seg, gi avkall på sin krone; frasi seg lederverv",Kongen valgte å abdisere til fordel for sin sønn.
abnormal,B2,adjective,abnorm,[abnå´rm],,"avvikende, sykelig, unormal, defekt",Pasienten søkte Freud blant annet på grunn av en abnorm frykt for at hans far.
abolition,C,en,abolisjon,,Latin,fritak for straff; påtaleunnlatelse,Abolisjonen av slaveri var et viktig steg mot frihet.
abolitionist,C,en,abolisjonist,,Latin,"person som går inn for å avskaffe noe, for eksempel dødsstraff; person som kjempet for å få slutt på slaveri",Abolisjonister kjempet hardt for å få slutt på slaveriet.
subscription,B1,et,abonnement,[abon(ə)ma´ŋ:],French,det å abonnere,Abonnementet løper ut.
subscriber,B1,en,abonnent,[abone´nt],French,person som abonnerer på noe,Det er abonnenter og annonsører som skal verves og purres på.
subscribe,B1,verb,abonnere,[abone:´rə],French,"bestille til regelmessig levering",Jeg skal abonnere på avisen fra neste uke.
abortion,B1,en,abort,[abå´rt],Latin: abortus,fødsel av et foster som ikke er fullt utviklet og levedyktig,Brita var en av foregangskvinnene for selvbestemt abort.
abscess,B2,en,abscess,[apse´s:],Latin,"svull, verk; materiefylt byll",Legen måtte behandle abscessen for å forhindre infeksjon.
absolutism,C,en,absolutisme ,[apsoluti´smə],Latin,enevelde,Den franske hagen var en programerklæring for absolutismen.
absolutist,C,en,absolutist ,[apsoluti´st],Latin,tilhenger av absolutisme,Konferansen blir avbrutt av primitivistiske studenter og religiøse absolutister.
absolutist,C,adjective,absolutistisk ,[apsoluti´stisk],Latin,som gjelder absolutisme,Styret hans ble ansett som absolutistisk og undertrykkende.
absolute,B1,et,absolutt ,[apsolu´t:],Latin,absolutt krav,Jeg bøyer meg bare for absolutter.
absolute,B1,adjective,absolutt ,[apsolu´t:],Latin,"som gjelder uten forbehold; fullstendig, uinnskrenket",Teorien har absolutt gyldighet.
absolute majority,B1,expression,"absolutt flertall, absolutt majoritet",,Latin,"over halvparten av stemmene blant alle stemmeberettigede",Partiet vant valget med et absolutt flertall.
absolute zero,B2,expression,"absolutt nullpunkt",,Latin,nullpunktet i den termodynamiske temperaturskalaen,Absolutt nullpunkt er den laveste mulige temperaturen.
absorb,B2,verb,absorbere,[apsårbe:´re],Latin,"suge opp, ta opp i seg",Hjemmemarkedet kunne ikke absorbere produksjonen.
absorption,B2,ei,"absorbering",,Latin,det å absorbere; absorpsjon,Sponsene ble brukt til absorbering av væske.
absorption,B2,en,absorpsjon,,Latin,"absorbering",Kroppen trenger tid til absorpsjon av vitaminer.
"abstinence, withdrawal",C,en,abstinens,[apstine´ns],Latin,"avhold, for eksempel fra alkohol, tobakk, narkotika; reaksjon på avhold fra rusmidler en er avhengig av",Det nyfødte barnet ble behandlet for abstinens på grunn av morens rusmisbruk.
withdrawal symptom,C,et,abstinenssymptom,,Latin,"sykdomstegn som følge av plutselig opphør av inntak av vanedannende rusmiddel",Han opplevde sterke abstinenssymptomer etter å ha sluttet med medisinen.
abstract,C,verb,abstrahere,,Latin,lage en allmenn forestilling om noe ved å fremheve visse trekk og se bort fra andre,For å forstå teorien må du abstrahere detaljene.
abstraction,C,ei,abstrahering,,Latin,det å abstrahere; abstraksjon,Det er umulig å klassifisere uten å abstrahere.
abstraction,B2,en,abstraksjon,[apstrakʃo:´n],Latin,"abstrahering; tanke, fenomen som er et resultat av abstrahering",Abstraksjon kan være en nyttig måte å forenkle komplekse ideer på.
abstract,B2,et,abstrakt,[apstra´kt],Latin,"uhåndgripelig eller tenkt fenomen; sammendrag, referat; stil eller tilnærming hvor kunstverket ikke nødvendigvis representerer gjenstander eller figurer fra den virkelige verden",Kan du lese abstraktet til kapitlet høyt?
abstract,B2,adjective,abstrakt,[apstra´kt],Latin,som bare kan fattes gjennom tanken; ikke konkret eller fysisk,Matematikk er en abstrakt vitenskap.
"absurd, absurdist",B2,adjective,absurd,[apsu´r-d],Latin,"meningsløs, urimelig; latterlig, eller fullstendig uforståelig på grunn av sin irrasjonelle eller motsigende natur",Dette er jo ganske absurd.
absurdity,B2,en,absurditet,[apsur-dite:´t],Latin,det å være absurd,Begge verk har en fortellende struktur og en leken absurditet.
action,B2,en,action,[æ´kʃ(ə)n],Latin via French via English: action,"spenningsfylt, dramatisk handling",Filmen var full av action-scener som holdt oss på kanten av setet.
"as necessary, ad hoc",C,expression,ad hoc,[adhå´k:],Latin,"til dette spesielle formålet, i dette spesielle tilfellet",Vi trenger en ad hoc-løsning på problemet.
birthday suit,B2,ei,adamsdrakt,,Hebrew,naken tilstand,Han sto der i adamsdrakt etter å ha hoppet i vannet.
Adam's apple,B1,et,adamseple,,Hebrew,fremste del av strupehodet (mest synlig hos menn),Han kjente et ubehag i adamseplet da han svelget.
"add, add up",B1,verb,addere,[ade:´rə],Latin,"legge sammen, summere","Hvis du adderer tallene, får du totalsummen."
addition,B1,en,addisjon,,Latin,sammenlegging av tall,Addisjonen er riktig.
adequate,B2,adjective,adekvat,,,"dekkende, fullgod, samsvarende med; tilstrekkelig, passende, eller egnet for en bestemt situasjon eller formål",Hun ga en adekvat forklaring på hva som hadde skjedd.
nobility,B2,en,adel,[a:´d(ə)l],German: ādel,(personer fra) øverste samfunnsklasse med arvelige særretter,Adelen hadde stor makt i middelalderen.
noble,B2,adjective,adelig,,German,som gjelder adelen,Prinsen giftet seg adelig.
noblewoman,B2,ei,adelsdame,,German,adelig dame,Adelsdamen var kjent for sin nåde og skjønnhet.
nobility,B2,et,adelskap,,German,rett og verdighet som følger med adel,Adelskapet ble opphevet i mange land på 1900-tallet.
nobleman,B2,en,adelsmann,,German,adelig mann,Adelsmannen red gjennom byen med stor prakt.
"nobility, distinction",B2,et,adelsmerke,,German,"tegn på gode, særegne egenskaper",Adelsmerket var et symbol på familiens makt.
"behavior, conduct",B2,ei,"adferd, atferd",[a:`dfær-d],Old Norse: atferð,måte å opptre på,Det er noe frastøtende ved hans adferd.
behavioral norm,B2,en,"adferdsnorm, atferdsnorm",,Old Norse,norm for hva som er akseptabel og uakseptabel adferd innenfor en kultur eller et miljø,Samfunnet har visse adferdsnormer som må følges.
access,B1,en,adgang,[a:`dgaŋ],Old Norse: tilgangr,mulighet til å komme inn eller til å gjøre bruk av,Medlemmer har gratis adgang.
temporary committee,C,en,"adhockomité, adhockomite",,Latin,"komite som er nedsatt for å arbeide med en spesiell sak, og som deretter blir oppløst",Adhockomiteen ble opprettet for å løse et midlertidig problem.
temporary solution,C,ei,"adhocløsning, adhocløysing",,Latin,midlertidig løsning,Dette er bare en adhocløsning.
goodbye,A1,et,adjø,[adjø:´],French,farvel,Det ble et vemodig adjø med den avholdte læreren.
knight,B2,verb,adle ,,German,gi adelig rang; gjøre gjevere og edlere,Han ble adlet for sitt bidrag til samfunnet.
obey,B1,verb,adlyde,,Old Norse,"lystre, høre på, respektere",Det er viktig å adlyde lærerens instrukser.
administration,B1,en,administrasjon,,Latin,personale i offentlig eller privat virksomhet som utfører administrativt arbeid,Administrasjonen på skolen er alltid opptatt med å organisere aktiviteter for elevene.
administrative center,B1,et,administrasjonssenter,,Latin,"senter for administrasjon (for eksempel i kommune eller bedrift)",Byen fungerer som et administrasjonssenter for regionen.
administrative,B1,adjective,administrativ ,,Latin,som gjelder administrasjon,Hun jobber med administrative oppgaver på kontoret.
administer,B2,verb,administrere,,Latin,"lede, styre, forvalte",
adoption,B1,en,adopsjon ,,Latin,det å adoptere,Adopsjonen gikk gjennom etter mange måneder med venting.
adopt,B1,verb,adoptere ,,Latin,"ta opp, godkjenne",Skoleklassen adopterte et skip.
sender,B2,en,adressant,,French,avsender,"Adressanten var ukjent, så brevet ble returnert."
addressee,B2,en,adressat,,French,"den som noe er adressert til",Adressaten for brevet var en venn av familien.
address,A1,ei,adresse ,[adre´s:ə],French,opplysning om stedet der noen bor eller en virksomhet holder til; plassering eller sted der noe eller noen er lokalisert,Det sto navn og adresse utenpå pakken.
address,B1,verb,adressere ,[adrese:´rə],French,sette (navn og) adresse på; henvende,Brevet var adressert til meg.
addressing,B1,ei,adressering,,French,det å adressere; henvendelse,Pakken har mangelfull adressering.
"separate, segregate",B2,verb,"adskille, atskille",[a:´dʃilə],Old Norse,"oppheve forbindelsen mellom, skille; danne skille mellom; skjelne, skille mellom; avvike fra",En hekk adskiller eiendommene. Kanalen adskiller England og Frankrike. Fuglene adskiller seg fra pattedyra ved at de legger egg. Rådhuset adskiller seg fra de andre husene i strøket.
separation,B2,en,"adskillelse, atskillelse",[a:´dʃil(ə)lsə],Old Norse,"det å være, bli adskilt, separasjon",De var samlet igjen etter lang adskillelse.
considerable,B2,adjective,"adskillig, atskillig",[adʃi´l:i],Old Norse: atskiljanligr,"i entall, ofte som substantiv: (ganske) mye, ikke så lite; i flertall, ofte som substantiv: (ganske) mange, ikke så få",Det var adskillig å utsette på planen. Han hadde adskillig penger.
warn,B1,verb,advare,[a:´dvarə],,varsle om uheldige følger,Hvordan skal vi få advart henne? Han lot seg ikke advare. Jeg bare advarer deg!
warning,B1,en,advarsel,[a:`dvaʃ(ə)l],,"formaning, påminnelse",Det manglet ikke på advarsler. La dette være en advarsel. Fotballspilleren slapp med en advarsel.
Advent,A2,en,advent,,Latin,de siste fire ukene før jul,Advent begynner neste søndag.
advent calendar,A2,en,adventskalender,,Latin,"kalender for dagene fra 1. desember til julaften med luker eller gaver som åpnes, én for hver dag; julekalender",Barna elsker adventskalenderen sin.
adverb,A2,et,adverb,,Latin,"ord som oftest er underordnet et verb, et adjektiv eller et annet adverb, og som sier noe om grad, måte, sted eller tid",I ‘å kjøre fort’ er ‘fort’ et adverb.
"lawyer, advocate",B1,en,advokat,[advoka:´t],Latin,person med juridisk utdanning som har rett til å yte juridisk hjelp,Hans hustru var hans beste advokat.
law firm,B1,et,advokatfirma,,Latin,"firma drevet av advokat(er)",Advokatfirmaet håndterer flere store selskapsfusjoner.
advocate,C,verb,advokere,[advoke:´rə],Latin,gå inn for; ta til orde for,I det politiske landskap er det nasjonalistpartiene som advokerer full løsrivelse.
era,B2,en,æra,[æ:´ra],Latin,"tidsrom, epoke",Datamaskinen innledet en ny æra.
decent,B2,adjective,ærbar,[æ:`rbar],German via Old Norse,"anstendig, sømmelig",Hun er en ærbar kvinne med stor respekt i samfunnet.
honorable,C,adjective,ærbødig,[ærbø:´di],German,som viser stor aktelse eller respekt; i superlativ eller med personlig pronomen til å undertegne brev,Han ga et ærbødig nikk til kongen.
honor,B2,verb,ære ,[æ:`rə],German via Old Norse: æra,"vise stor respekt eller anerkjennelse, hedre, beære; den gode anseelsen eller respekten som en person eller en gruppe har opparbeidet seg gjennom sine handlinger, integritet og karakter",Han æret gjesten ved å holde en stor middag for henne.
honor,B2,ei,ære ,[æ:`rə],German via Old Norse,"anseelse, berømmelse, respekt, beundring",Hun hadde den ære å få tale med kongen.
honorable,B2,adjective,ærefull,,German via Old Norse,"som det følger stor ære med",Å vinne denne prisen er en ærefull prestasjon.
defame,C,verb,"ærekrenke",,German via Old Norse,"tilføye ærekrenkelse, utsette for utilbørlig behandling eller omtale, for eksempel i form av injurier",Hun ble anklaget for å ærekrenke sin kollega.
defamation,C,en,"ærekrenkelse",,German via Old Norse,straffbar handling som krenker en persons æresfølelse eller alminnelige omdømme,Ærekrenkelsen førte til en rettssak.
without honor,C,adjective,æreløs,,German via Old Norse,"uten moralsk verdighet, skamløs",Den æreløse handlingen ble fordømt av alle.
badge of honor,B2,ei,æresbevisning,,German via Old Norse,"utmerkelse, ærefullt verv eller lignende",Han ble tildelt en æresbevisning for sitt arbeid.
