Difference Type,Word 1,Word 2,Audio,Are they the same?
pitch accent,anden,ånden,X,FALSE
vowel quantity: å,åte,åtte,X,FALSE
pitch accent,badet,bade,X,FALSE
vowel quantity: a,bake,bakke,X,FALSE
vowel quantity: a,bane,banne,X,FALSE
vowel quality,bar,bår,X,FALSE
initial consonant,bar,far,X,FALSE
initial consonant,bar,var,X,FALSE
initial consonant,bar,tar,X,FALSE
initial consonant,bar,kar,X,FALSE
initial consonant,båt,låt,X,FALSE
initial consonant,båt,våt,X,FALSE
vowel quantity: y,beskyte,beskytte,X,FALSE
vowel quantity: i,bil,bille,X,FALSE
vowel quality,bil,byl,X,FALSE
vowel quality,bil,bål,X,FALSE
initial consonant,bil,mil,X,FALSE
initial consonant,bil,fil,X,FALSE
initial consonant,bil,sil,X,FALSE
vowel quantity: i,bit,bitt,X,FALSE
vowel quantity: e,blek,blekk,X,FALSE
vowel quantity: ø,bløt,bløtt,X,FALSE
vowel quantity: o,bod,bodd,X,FALSE
pitch accent,bønder,bønner,X,FALSE
vowel quantity: o,bone,bonde,X,FALSE
vowel quality,bor,byr,X,FALSE
vowel quality,bor,bår,X,FALSE
vowel quantity: ø,bøter,bøtter,X,FALSE
vowel quantity: e,breke,brekke,X,FALSE
pitch accent,brølet,brøle,X,FALSE
vowel quantity: u,brud,brudd,X,FALSE
vowel quality,bur,bor,X,FALSE
vowel quality,bur,byr,X,FALSE
vowel quality,bur,bår,X,FALSE
initial consonant,bur,mur,X,FALSE
initial consonant,bur,lur,X,FALSE
vowel quantity: y,byge,bygge,X,FALSE
vowel quality,byl,bål,X,FALSE
vowel quality,byr,bår,X,FALSE
pitch accent,dekket,dekke,X,FALSE
vowel quantity: ø,død,dødd,X,FALSE
pitch accent,draget,drage,X,FALSE
vowel quantity: y,dyp,dypp,X,FALSE
vowel quality,far,får,X,FALSE
initial consonant,far,var,X,FALSE
initial consonant,far,tar,X,FALSE
initial consonant,far,kar,X,FALSE
initial consonant,får,vår,X,FALSE
initial consonant,får,går,X,FALSE
pitch accent,faret,fare,X,FALSE
initial consonant,fatt,tatt,X,FALSE
initial consonant,fatt,datt,X,FALSE
vowel quantity: e,fele,felle,X,FALSE
vowel quantity: e,fet,fett,X,FALSE
initial consonant,fet,vet,X,FALSE
initial consonant,fet,het,X,FALSE
initial consonant,fil,sil,X,FALSE
vowel quantity: i,file,fille,X,FALSE
initial consonant,fin,vin,X,FALSE
initial consonant,fin,sin,X,FALSE
final consonant,fin,fil,X,FALSE
vowel quantity: i,fine,finne,X,FALSE
vowel quantity: å,flåten,flåtten,X,FALSE
vowel quantity: y,flyte,flytte,X,FALSE
vowel quantity: ø,føl,føll,X,FALSE
vowel quality,fôr,før,X,FALSE
vowel quality,fôr,får,X,FALSE
vowel quality,før,får,X,FALSE
vowel quality,full,fyll,X,FALSE
vowel quality,fur,fôr,X,FALSE
vowel quality,fur,før,X,FALSE
vowel quality,fur,får,X,FALSE
vowel quality,fyr,fur,X,FALSE
vowel quality,fyr,fôr,X,FALSE
vowel quality,fyr,før,X,FALSE
vowel quality,fyr,får,X,FALSE
vowel quantity: i,glipe,glippe,X,FALSE
pitch accent,gnålet,gnåle,X,FALSE
vowel quantity: å,gråt,grått,X,FALSE
pitch accent,grinet,grine,X,FALSE
vowel quantity: u,gul,gull,X,FALSE
vowel quantity: a,hake,hakke,X,FALSE
vowel quantity: å,hån,hånd,X,FALSE
vowel quality,har,hår,X,FALSE
final consonant,har,hav,X,FALSE
initial consonant,hår,lår,X,FALSE
initial consonant,hår,får,X,FALSE
initial consonant,hår,vår,X,FALSE
initial consonant,hår,går,X,FALSE
vowel quantity: a,hat,hatt,X,FALSE
final consonant,hat,har,X,FALSE
final consonant,hat,hav,X,FALSE
initial consonant,hatt,fatt,X,FALSE
initial consonant,hatt,tatt,X,FALSE
initial consonant,hatt,datt,X,FALSE
vowel quantity: e,hele,helle,X,FALSE
vowel quantity: e,hete,hette,X,FALSE
pitch accent,hjemmet,hjemme,X,FALSE
vowel quality,hus,hos,X,FALSE
initial consonant,hus,mus,X,FALSE
initial consonant,hus,lus,X,FALSE
vowel quantity: y,hyle,hylle,X,FALSE
vowel quantity: i,ile,ille,X,FALSE
pitch accent,jaget,jage,X,FALSE
vowel quantity: a,kake,kakke,X,FALSE
vowel quality,kar,kår,X,FALSE
