titleNorwegian,titleEnglish,genre,CEFR,norwegian,english
En dag i en fornøyelsespark,A Day at an Amusement Park,monologue,A1,"I dag skal jeg fortelle om en dag i en fornøyelsespark. Jeg står opp tidlig og spiser frokost. Jeg er veldig glad og spent. Jeg skal dra med venner. Vi tar buss til parken. Det er sol og varmt. Når vi kommer fram, kjøper vi billetter. Vi går først til en berg-og-dalbane. Den går fort, og jeg roper høyt. Det er gøy! Etterpå spiser vi is. Jeg liker jordbæris. Vi ser på mange fargerike karuseller. Jeg prøver pariserhjulet. Det er høyt oppe, og jeg ser hele parken. Vi spiser også pølser og drikker brus. Vi tar mange bilder. Jeg kjøper en liten bamse i en butikk. Klokka blir mye, og vi er slitne. Vi tar bussen hjem igjen. Det var en fin dag. Jeg er trøtt, men veldig glad. Jeg liker fornøyelsesparker!","Today I’m going to tell you about a day at an amusement park. I wake up early and eat breakfast. I’m very happy and excited. I’m going with friends. We take the bus to the park. It’s sunny and warm. When we arrive, we buy tickets. We go first to a roller coaster. It goes fast, and I scream loudly. It’s fun! Afterwards we eat ice cream. I like strawberry ice cream. We look at many colorful rides. I try the Ferris wheel. It’s high up, and I can see the whole park. We also eat hot dogs and drink soda. We take many pictures. I buy a small teddy bear in a shop. It gets late, and we’re tired. We take the bus home again. It was a great day. I’m tired, but very happy. I love amusement parks!"
En dag på biblioteket,A Day at the Library,monologue,A2,"I dag gikk jeg til biblioteket. Det var sol ute, men jeg ville lese en bok og gjøre lekser. Jeg liker biblioteket fordi det er stille og rolig der. Først fant jeg en plass ved et bord. Jeg tok frem boka mi og begynte å lese. Boka handlet om en jente som reiser til en ny by. Den var spennende og lett å forstå. Etterpå gjorde jeg litt lekser i norsk og matte. Det kom mange mennesker inn og ut av biblioteket. Noen leste aviser, andre brukte datamaskinene. En liten gutt satt med mora si og leste en bok med bilder. Det var hyggelig å se. Etter to timer var jeg ferdig med leksene. Jeg lånte med meg to bøker hjem. Jeg gleder meg til å lese dem i helgen. Biblioteket er et fint sted å være når man vil lære noe nytt eller bare slappe av.","Today I went to the library. It was sunny outside, but I wanted to read a book and do homework. I like the library because it’s quiet and calm there. First, I found a spot at a table. I took out my book and started reading. The book was about a girl who moves to a new city. It was exciting and easy to understand. Afterwards, I did some homework in Norwegian and math. Many people came in and out of the library. Some read newspapers, others used the computers. A little boy sat with his mother and read a picture book. It was nice to see. After two hours I finished my homework. I borrowed two books to take home. I’m looking forward to reading them this weekend. The library is a nice place to be when you want to learn something new or just relax."
En dag i dyrehagen,A Day at the Zoo,monologue,A1,I dag skal jeg fortelle om en dag i dyrehagen. Jeg dro til dyrehagen med familien min. Det var sol og varmt. Vi tok buss dit om morgenen. Først så vi på løvene. De var store og lå i sola. Etterpå gikk vi til apene. Apene lekte og hoppet i trærne. Det var morsomt å se på. Vi spiste lunsj ved en benk. Jeg spiste en brødskive og drakk juice. Etter lunsj gikk vi til giraffene. De var høye og fine. Jeg tok mange bilder. Til slutt så vi på pingvinene. De svømte i vannet og så glade ut. Jeg likte pingvinene best. Det var en fin dag i dyrehagen. Jeg var glad og litt trøtt da vi kom hjem. Jeg vil dra dit igjen en annen dag.,"Today I’m going to tell you about a day at the zoo. I went to the zoo with my family. It was sunny and warm. We took the bus there in the morning. First, we looked at the lions. They were big and lay in the sun. Then we went to the monkeys. The monkeys played and jumped in the trees. It was fun to watch. We had lunch at a bench. I ate a sandwich and drank juice. After lunch we went to the giraffes. They were tall and beautiful. I took many pictures. Finally, we saw the penguins. They swam in the water and looked happy. I liked the penguins best. It was a nice day at the zoo. I was happy and a little tired when we got home. I want to go there again another day."
En dag på landet,A Day in the Countryside,monologue,A1,"Jeg står opp tidlig i dag. Solen skinner, og himmelen er blå. Jeg spiser frokost med brød og ost. Så tar jeg sekken min og går til bussen. Jeg skal til landet. På bussen ser jeg trær, hus og kuer. Det er rolig og stille. Når jeg kommer frem, går jeg en tur på en liten sti. Jeg ser blomster og hører fugler synge. Det lukter friskt. Jeg spiser lunsj ved en elv. Jeg har med matpakke og vann. Jeg ser noen sauer langt borte. De er hvite og søte. Etter lunsj hviler jeg litt under et tre. Jeg ser på skyene og tenker. Det er godt å være ute i naturen. Når det blir kveld, tar jeg bussen hjem. Jeg er trøtt, men glad. Det var en fin dag på landet.","I woke up early today. The sun is shining, and the sky is blue. I eat breakfast with bread and cheese. Then I take my backpack and go to the bus. I’m going to the countryside. On the bus I see trees, houses, and cows. It’s quiet and peaceful. When I arrive, I go for a walk on a small path. I see flowers and hear birds singing. It smells fresh. I eat lunch by a river. I brought a packed lunch and water. I see some sheep far away. They are white and cute. After lunch I rest under a tree. I look at the clouds and think. It’s nice to be out in nature. When evening comes, I take the bus home. I’m tired, but happy. It was a nice day in the countryside."
En middag for to,A Dinner for Two,dialogue,A2,"Hanna satt ved et bord nær vinduet og ventet. Hun kikket rundt i restauranten. Det var nesten tomt, men summingen fra de få bordene fylte rommet. Døren åpnet seg, og Thomas kom inn. Han så seg rundt, fant Hanna og smilte. ""Unnskyld, jeg ble litt forsinket,"" sa han, og satte seg. ""Det går fint,"" svarte hun. ""Jeg har bare sittet her litt."" En servitør kom bort med menyene. ""Vil dere ha noe å drikke først?"" ""Ja, jeg tar en øl. Har dere Hansa?"" spurte Thomas. ""Ja,"" svarte servitøren. ""Og til deg?"" spurte han Hanna. ""Kan jeg få et glass hvitvin?"" sa hun. Servitøren nikket og forsvant. Thomas så på menyen. ""Hva skal du ha?"" spurte han. ""Jeg tar dagens fisk,"" svarte hun. ""Da tar jeg burgeren,"" sa han, og smilte. Servitøren kom tilbake med drikken. ""Er dere klare til å bestille?"" ""Ja,"" sa Thomas. ""Jeg tar burgeren."" ""Og jeg tar dagens fisk,"" sa Hanna. ""Med litt ekstra grønnsaker, hvis det går."" ""Selvfølgelig,"" svarte servitøren. De smilte til hverandre. Maten kom kort tid etter, og de begynte å spise i ro. Hanna tok en bit og nikket til Thomas. ""Godt valg,"" sa hun. ""Enig,"" svarte han, og smilte tilbake.","Hanna sat at a table near the window and waited. She looked around the restaurant. It was almost empty, but the buzz from the few tables filled the room. The door opened and Thomas walked in. He looked around, found Hanna and smiled. “Sorry, I was a little late,” he said, and sat down. “That's fine,” she replied. “I've just been sitting here for a while.” A waiter came over with the menus. “Would you like something to drink first?” ”Yes, I'll have a beer. Do you have Hansa?” asked Thomas. “Yes,” replied the waiter. “And for you?” he asked Hanna. “Can I have a glass of white wine?” she said. The waiter nodded and disappeared. Thomas looked at the menu. “What are you having?” he asked. “I'll have the fish of the day,” she replied. “Then I'll have the burger,” he said, smiling. The waiter came back with the drink. “Are you ready to order?” “Yes,” Thomas said. “I'll have the burger.” “And I'll have the fish of the day,” said Hanna. “With some extra vegetables, if you don't mind.” “Of course,” replied the waiter. They smiled at each other. The food arrived shortly after, and they began to eat in silence. Hanna took a bite and nodded to Thomas. “Good choice,” she said. “Agreed,” he replied, smiling back."
En sang om is og ild,A Song of Ice and Fire,fantasy,B1,"Eddard Stark bor i nord sammen med familien sin. Han blir kalt til hovedstaden, Kongshavn, for å bli kongens høyre hånd. Kongen, Robert Baratheon, er en gammel venn. Eddard finner ut at den forrige håndens død kanskje ikke var en ulykke, men et drap. Han begynner å undersøke, og oppdager at dronningen, Cersei Lannister, har barn med sin egen bror, Jaime. Barna som skulle arve tronen, er altså ikke kongens ekte barn. Etter at kong Robert dør, prøver Eddard å avsløre sannheten, men han blir forrådt og henrettet. Døtrene hans, Sansa og Arya, blir adskilt. Sansa blir værende i slottet med Lannister-familien, mens Arya rømmer og begynner en lang reise gjennom landet. I nord erklærer Robb Stark, Eddards sønn, seg som konge og starter en krig mot Lannisterene. Men han blir til slutt drept i et forræderisk bryllup, kalt Det røde bryllupet. Samtidig, langt borte i øst, lever Daenerys Targaryen i eksil. Hun er den siste i en familie som styrte før Baratheon-familien. Hun får tre drageegg som klekkes, og hun blir “moren til drager”. Hun bygger en hær og frigjør slaver i mange byer, og ønsker å reise til Westeros for å ta tilbake tronen. Jon Snow, Eddards uekte sønn, vokser opp på Muren i nord, der han kjemper mot farer fra både villmenn og de døde. Han blir leder for Nattens Vakt, og prøver å forene folk mot en større trussel: De hvite vandrerne. Etter å ha blitt forrådt og drept av sine egne, blir han vekket til live igjen av en prestinne. Etter hvert samler Daenerys hæren sin og drar til Westeros. Hun møter Jon Snow, og de slår seg sammen både militært og romantisk. Samtidig fortsetter kampen om jerntronen. Cersei har tatt makten i hovedstaden og vil ikke gi den fra seg. Det blir krig, og mange dør. Til slutt blir Daenerys dronning, men hun ødelegger byen med ild og dragekraft. Jon ser at hun har blitt for farlig, og han dreper henne. Dragen hennes flyr avgårde med kroppen hennes. Jerntronen blir ødelagt. Bran Stark, Eddards sønn som har fått mystiske krefter og kan se inn i fortiden og fremtiden, blir valgt til ny konge. Sansa blir dronning i nord, som blir et eget rike. Jon blir sendt tilbake til Muren. Historien slutter med at landet prøver å bygge opp igjen etter mange år med krig og ødeleggelse.","Eddard Stark lives in the north with his family. He is called to the capital, King’s Landing, to become the king’s right hand. The king, Robert Baratheon, is an old friend. Eddard finds out that the death of the previous Hand may not have been an accident, but a murder. He begins to investigate and discovers that the queen, Cersei Lannister, has children with her own brother, Jaime. The children who were supposed to inherit the throne are therefore not the king’s real children. After King Robert dies, Eddard tries to reveal the truth but is betrayed and executed. His daughters, Sansa and Arya, are separated. Sansa stays in the castle with the Lannister family, while Arya runs away and begins a long journey across the land. In the north, Robb Stark, Eddard’s son, declares himself king and starts a war against the Lannisters. But he is eventually killed in a treacherous wedding, known as the Red Wedding. Meanwhile, far away in the east, Daenerys Targaryen lives in exile. She is the last in a family that ruled before the Baratheons. She receives three dragon eggs that hatch, and she becomes the “mother of dragons.” She builds an army and frees slaves in many cities, and wants to travel to Westeros to reclaim the throne. Jon Snow, Eddard’s illegitimate son, grows up at the Wall in the north, where he fights threats from both wildlings and the dead. He becomes the leader of the Night’s Watch and tries to unite people against a greater threat: the White Walkers. After being betrayed and killed by his own men, he is brought back to life by a priestess. Eventually, Daenerys gathers her army and travels to Westeros. She meets Jon Snow, and they join forces both militarily and romantically. At the same time, the struggle for the Iron Throne continues. Cersei has taken power in the capital and refuses to give it up. War breaks out, and many die. In the end, Daenerys becomes queen, but she destroys the city with fire and dragon power. Jon sees that she has become too dangerous and kills her. Her dragon flies away with her body. The Iron Throne is destroyed. Bran Stark, Eddard’s son who has gained mysterious powers and can see into the past and future, is chosen as the new king. Sansa becomes queen in the north, which becomes an independent kingdom. Jon is sent back to the Wall. The story ends with the country trying to rebuild after many years of war and destruction."
KI og medisin,AI and Medicine,technology,B2,"Kunstig intelligens (KI) har blitt et viktig verktøy innen moderne medisin. Med stadig mer avansert teknologi kan KI hjelpe leger med å stille raskere og mer presise diagnoser. For eksempel kan algoritmer analysere røntgenbilder og oppdage sykdommer som kreft tidligere enn det et menneskelig øye klarer. Dette kan føre til bedre behandling og høyere overlevelsesrate. En annen fordel med KI i medisinen er muligheten til å analysere store mengder pasientdata for å finne mønstre og sammenhenger. Dette kan gi ny innsikt i hvordan sykdommer utvikler seg, og bidra til mer personlig tilpasset behandling. I tillegg kan digitale assistenter hjelpe pasienter med å følge medisinering og gi påminnelser, noe som gjør hverdagen enklere, særlig for eldre mennesker. Selv om KI har mange fordeler, finnes det også utfordringer. Det er viktig å sikre at personvernet blir ivaretatt, og at teknologien brukes på en etisk og ansvarlig måte. Mange er også bekymret for at menneskelig kontakt i helsesektoren kan bli redusert hvis maskiner tar over for mye av arbeidet. Alt i alt har kunstig intelligens potensial til å forbedre helsevesenet betydelig, men det krever god regulering og bevisst bruk for å sikre at utviklingen skjer til det beste for både pasienter og helsepersonell.","Artificial intelligence (AI) has become an important tool in modern medicine. With increasingly advanced technology, AI can help doctors make faster and more accurate diagnoses. For example, algorithms can analyze X-rays and detect diseases like cancer earlier than the human eye can. This can lead to better treatment and higher survival rates. Another advantage of AI in medicine is the ability to analyze large amounts of patient data to find patterns and connections. This can provide new insights into how diseases develop and contribute to more personalized treatment. In addition, digital assistants can help patients follow medication plans and give reminders, which makes everyday life easier—especially for elderly people. Although AI has many benefits, there are also challenges. It is important to ensure privacy is protected and that the technology is used in an ethical and responsible way. Many are also concerned that human contact in healthcare may be reduced if machines take over too much of the work. All in all, artificial intelligence has the potential to significantly improve healthcare, but it requires good regulation and conscious use to ensure that development benefits both patients and healthcare workers."
Alan Watts,Alan Watts,biography,C,"Alan Watts var en britisk filosof, forfatter og foredragsholder som er mest kjent for å ha introdusert østlig filosofi til et vestlig publikum på en tilgjengelig og tankevekkende måte. Gjennom sitt omfattende forfatterskap og utallige foredrag, som senere har blitt digitalisert og delt i stort omfang på internett, formidlet han komplekse ideer fra buddhisme, taoisme og hinduistisk tenkning med en sjelden evne til å kombinere intellektuell skarphet med personlig innsikt. Watts var spesielt opptatt av hvordan moderne mennesker har mistet forbindelsen til det naturlige og umiddelbare ved tilværelsen, og han utfordret konvensjonelle forestillinger om ego, tid og identitet. Han hevdet at vårt behov for kontroll og sikkerhet ofte er roten til eksistensiell uro, og han stilte spørsmål ved vestlige antagelser om at individet er fundamentalt atskilt fra omgivelsene. I stedet beskrev han en virkelighetsforståelse der alt er forbundet i en dynamisk helhet, hvor skillet mellom “jeg” og “verden” i stor grad er en illusjon. Et av de mest sentrale temaene i Watts’ filosofi er betydningen av å leve i nået. Han mente at mange mennesker lever i konstant streben etter fremtidige mål eller forsøker å unnslippe fortiden, og dermed overser det eneste øyeblikket som faktisk eksisterer – nåtiden. Hans refleksjoner kan minne om zenbuddhistiske prinsipper, men han var alltid forsiktig med å unngå dogmatisme. I stedet oppfordret han til nysgjerrighet og personlig utforskning, fremfor å blindt følge et bestemt trossystem. Selv om noen kritikere har hevdet at Watts til tider forenklet visse filosofiske retninger, er det liten tvil om at hans bidrag har vært betydningsfulle for mange som søker en dypere forståelse av seg selv og sin plass i verden. Hans evne til å oversette abstrakte begreper til konkrete og gjenkjennelige erfaringer gjør hans tanker relevante også i dag, særlig i en tid preget av rastløshet, overfladiskhet og informasjonskaos. Watts etterlot seg et omfattende lyd- og tekstmateriale som fortsatt inspirerer både nybegynnere og viderekomne i møte med eksistensielle spørsmål. Gjennom sitt livsverk fremstår han som en brobygger mellom kulturer, tradisjoner og bevissthetsnivåer – en formidler av visdom som utfordrer oss til å tenke dypere, føle mer ærlig, og kanskje til og med våge å gi slipp på behovet for å forstå alt.","Alan Watts was a British philosopher, author, and speaker who is best known for introducing Eastern philosophy to a Western audience in an accessible and thought-provoking way. Through his extensive writings and countless lectures, which have since been digitized and widely shared on the internet, he conveyed complex ideas from Buddhism, Taoism, and Hindu thought with a rare ability to combine intellectual sharpness with personal insight. Watts was particularly concerned with how modern people have lost their connection to the natural and immediate aspects of existence, and he challenged conventional notions of ego, time, and identity. He argued that our need for control and security is often the root of existential unease, and he questioned Western assumptions that the individual is fundamentally separate from their surroundings. Instead, he described a view of reality in which everything is connected in a dynamic whole, where the division between “self” and “world” is largely an illusion. One of the most central themes in Watts’ philosophy is the importance of living in the present moment. He believed that many people live in constant pursuit of future goals or try to escape the past, and thus overlook the only moment that truly exists – the present. His reflections resemble Zen Buddhist principles, but he was always careful to avoid dogmatism. Instead, he encouraged curiosity and personal exploration, rather than blindly following a particular belief system. Although some critics have claimed that Watts at times oversimplified certain philosophical traditions, there is little doubt that his contributions have been significant for many who seek a deeper understanding of themselves and their place in the world. His ability to translate abstract concepts into concrete and recognizable experiences makes his thoughts relevant even today, especially in a time marked by restlessness, superficiality, and information overload. Watts left behind an extensive collection of audio and written materials that continue to inspire both beginners and advanced learners in their encounter with existential questions. Through his life’s work, he stands out as a bridge-builder between cultures, traditions, and levels of consciousness – a transmitter of wisdom who challenges us to think more deeply, feel more honestly, and perhaps even dare to let go of the need to understand everything."
Albert Einstein,Albert Einstein,biography,A2,"Albert Einstein var en kjent vitenskapsmann. Han ble født i Tyskland i 1879. Einstein var veldig flink i matematikk og fysikk. Da han var ung, likte han å stille spørsmål og lære nye ting. Han studerte på universitetet i Sveits. Einstein jobbet med ideer om tid, rom og energi. Han er mest kjent for teorien om relativitet. Mange mennesker forstod ikke denne teorien med en gang, men senere ble den veldig viktig i vitenskapen. I 1921 fikk Einstein Nobelprisen i fysikk. Han flyttet til USA i 1933, fordi det var farlig å være jøde i Tyskland. Han bodde i USA resten av livet. Albert Einstein døde i 1955. I dag husker vi ham som en klok og nysgjerrig mann som forandret verden med sine ideer.","Albert Einstein was a well-known scientist. He was born in Germany in 1879. Einstein was very good at math and physics. When he was young, he liked to ask questions and learn new things. He studied at a university in Switzerland. Einstein worked with ideas about time, space, and energy. He is most famous for the theory of relativity. Many people didn’t understand this theory at first, but later it became very important in science. In 1921, Einstein won the Nobel Prize in Physics. He moved to the USA in 1933, because it was dangerous to be Jewish in Germany. He lived in the USA for the rest of his life. Albert Einstein died in 1955. Today, we remember him as a wise and curious man who changed the world with his ideas."
Alternativ historie,Alternate History,fantasy,B2,"Hva om historien tok en annen retning? Tanken på alternativ historie er både fascinerende og utfordrende. Det handler om å forestille seg hvordan verden kunne sett ut hvis enkelte historiske hendelser hadde utviklet seg annerledes. Hva ville skjedd hvis Norge aldri hadde blitt okkupert under andre verdenskrig? Eller hvis vikingene hadde etablert varige bosetninger i Nord-Amerika lenge før Columbus? Slike scenarier åpner for spennende refleksjoner. Kanskje ville Europa hatt en annen politisk struktur i dag, eller teknologisk utvikling kunne skjedd raskere – eller langsommere. Kanskje ville verdensspråket vært et annet, og den globale kulturen preget av helt andre impulser. Alternativ historie er ikke bare en lek med fantasien. Det kan også brukes som et verktøy for å forstå hvorfor ting ble som de ble, og hva slags valg mennesker og samfunn faktisk hadde. Når man undersøker «hva hvis»-spørsmål, ser man ofte tydeligere hvilke faktorer som var avgjørende i historien. Selv om vi aldri kan endre fortiden, gir alternativ historie oss muligheten til å stille spørsmål ved det vi tar for gitt – og kanskje bli mer bevisst på hvordan dagens beslutninger kan påvirke fremtiden.","What if history had taken a different path? The idea of alternative history is both fascinating and challenging. It’s about imagining how the world might have looked if certain historical events had developed differently. What would have happened if Norway had never been occupied during World War II? Or if the Vikings had established lasting settlements in North America long before Columbus? Such scenarios open up for exciting reflections. Perhaps Europe would have had a different political structure today, or technological development could have occurred faster — or slower. Perhaps the world language would be something else, and global culture shaped by completely different influences. Alternative history isn’t just a game of imagination. It can also be used as a tool to understand why things turned out the way they did, and what kinds of choices individuals and societies actually had. When we explore “what if” questions, we often see more clearly which factors were crucial in history. Even though we can never change the past, alternative history gives us the opportunity to question what we take for granted — and maybe become more aware of how today’s decisions can shape the future."
