engelsk,CEFR,gender,ord,wordAudio,uttale,etymologi,definisjon,sentenceAudio,eksempel,sentenceTranslation,sentenceToDelete
"A, a",A1,en,a,X,[a:],Latin,bokstaven og språklyden a,X,Ordet inneholder tre a-er.,The word contains three a's.,
"Å, å",A1,en,å,X,[å:],Latin,bokstaven og språklyden å,X,Å-en er vanskelig å uttale for noen.,The Å is difficult to pronounce for some.,
ah,B1,interjection,å,X,[å:],Old Norse: ó,"brukt i utrop og uttrykk for glede, sorg, redsel, overraskelse og lignende",X,"Å, det visste jeg ikke.","Oh, I didn't know that.",
to,A1,conjunction,å,X,[å],Old Norse: at,settes foran verb som står i infinitiv,X,Gjestene begynner å komme.,The guests are starting to arrive.,
stream,B1,ei,å,X,[å:],Old Norse: á,mindre elv,X,Mange bekker små gjør en stor å.,Many small streams make a big river.,
a cappella,C,expression,a cappella,X,[akape´l:a],Italian: a cappella,uten instrumentalt akkompagnement; musikkuttrykk som betyr å synge uten akkompagnement av instrumenter,X,Koret sang a cappella i kirken under julekonserten.,The choir sang a cappella in the church during the Christmas concert.,
up to date,B2,expression,"à jour, a jour",X,[aʃu:´r],French: à jour,"opp til dags dato; uttrykket brukes ofte for å indikere at noe er i samsvar med de nyeste opplysningene, dataene eller informasjonen",X,Boka er brakt à jour.,The book is brought up to date.,
in fashion,B2,expression,à la mode,X,[alamå´d:],French,"på moten; etter siste mote; moderne; fransk uttrykk som bokstavelig talt betyr ""på moten"" eller ""i stilen""",X,"Kaken ble servert à la mode, med is ved siden av.","The cake was served à la mode, with ice cream on the side.",
"after the fact, a posteriori",C,expression,a posteriori,X,[apåstərio:`ri],Latin,"i etterhånd, fra det erfarte",X,Han baserte sin konklusjon på a posteriori bevis.,He based his conclusion on a posteriori evidence.,
"in advance, a priori",C,expression,a priori,X,[aprio:`ri],Latin,på forhånd; uten undersøkelser først,X,Hans argument var basert på a priori kunnskap.,His argument was based on a priori knowledge.,
morning person,B2,et,"A-menneske, a-menneske",X,,,person som er mest opplagt om morgenen,X,Jeg er et A-menneske og jobber best før lunsj.,I am a morning person and work best before lunch.,
A4 format,B2,en,A4,X,[a: fi:`rə],German,arkstørrelse på 210 x 297 mm; A4-format,X,Hun skrev notatene på et A4-ark.,She wrote the notes on an A4 sheet of paper.,
standard,B2,adjective,A4,X,[a: fi:`rə],German,"forutsigelig, vanlig; konvensjonell; normal; standard",X,"Rapporten ble presentert på A4-måten, altså veldig standard.","The report was presented in A4 format, which is very standard.",
average life,B2,et,A4-liv,X,[a: fi:`rə li:v],German,ordnært liv,X,Hun lever et trygt A4-liv.,"She lives a safe, average life.",
average person,B2,et,A4-menneske,X,"[a: fi:`rə me`n:əskə], [a: fi:`rə me`nskə]",German,"ordinært menneske; person som lever en ordinær, vanlig eller gjennomsnittlig livsstil",X,Han lever som et A4-menneske med faste rutiner og få overraskelser.,He lives like a typical average person with fixed routines and few surprises.,
abandon,C,verb,abandonere,X,"[abaŋdåne:´re], [abandåne:´re]",French,"gi fra seg, forlate, avstå",X,Prosjektet ble abandonert etter budsjettoverskridelser.,The project was abandoned after budget overruns.,
abbey,C,et,abbedi,X,[abədi:´],German: abbedie,kloster som blir ledet av en abbed eller abbedisse,X,Abbediet lå i en vakker dal omgitt av skog.,The abbey was located in a beautiful valley surrounded by forest.,
perch,B2,en,abbor,X,[a`b:år],Old Norse,vanlig fisk i fersk- og brakkvann med mørke tverrbånd og piggstråler på fremre ryggfinne,X,Abbor er en populær fisk blant sportsfiskere.,Perch is a popular fish among sport anglers.,
